RA,DEC,mag,e_Gmag,pmRA,pmDE,Plx,catalog
265.98903065914,-39.14255454049,15.822228,0.002778,2.607,-5.74,0.5676,Gaia
265.99474032831,-39.1430337402,15.430281,0.002973,-2.918,-0.173,0.5953,Gaia
265.9905132549,-39.1431995794,15.842556,0.002893,-6.123,-1.562,0.1677,Gaia
265.9919641137,-39.13363290981,14.005747,0.002763,2.51,0.551,0.3535,Gaia
266.0016374535,-39.13552378012,14.93056,0.00283,-1.244,-5.737,0.0687,Gaia
265.99571525152,-39.1308338103,15.478614,0.002829,-5.434,-6.236,-0.0483,Gaia
265.99330154829,-39.12579919881,15.843375,0.002785,-1.684,-7.986,0.0458,Gaia
266.00301361501,-39.12424442828,15.410208,0.002805,1.262,-2.873,0.2075,Gaia
266.00193019704,-39.11577500776,14.935818,0.002791,-0.435,-3.92,0.3476,Gaia
266.00202974368,-39.11706542687,13.019733,0.003353,-2.757,-2.646,0.8439,Gaia
266.00217960553,-39.11687293895,12.550015,0.002867,-2.73,-2.581,0.7009,Gaia
265.94763661384,-39.16036627292,14.722212,0.002773,-5.88,-5.146,0.1134,Gaia
265.94840476165,-39.14885308226,15.922658,0.002781,0.934,0.374,0.3092,Gaia
265.95603462642,-39.14366351765,11.973289,0.002764,0.017,-10.507,0.741,Gaia
265.95465665671,-39.14032929529,13.534804,0.003531,-115.364,48.024,46.8277,Gaia
265.9491035601,-39.15205340873,15.601489,0.00279,-0.215,2.096,0.7371,Gaia
265.93868335901,-39.13918563774,15.909301,0.002786,-5.509,-6.15,0.0711,Gaia
265.94585936687,-39.13895139929,15.752184,0.003408,-3.325,-4.678,0.8195,Gaia
265.94461141729,-39.13391491471,13.944211,0.00278,-4.683,-3.465,0.1372,Gaia
265.94670409129,-39.13065017709,13.832899,0.002769,-0.136,-5.666,0.2966,Gaia
265.9452496344,-39.14511837897,15.028584,0.002785,-1.653,-3.0,0.704,Gaia
265.94536669026,-39.14412408017,15.639776,0.00278,0.57,-1.172,0.5863,Gaia
265.95825585016,-39.11971062042,15.897613,0.002782,-10.272,-5.821,0.0776,Gaia
265.96234818136,-39.12705091822,15.908352,0.002879,-2.384,-7.12,0.2388,Gaia
